nohup: ignoring input
/home/skyvision/.local/lib/python3.10/site-packages/torch/nn/modules/rnn.py:123: UserWarning: dropout option adds dropout after all but last recurrent layer, so non-zero dropout expects num_layers greater than 1, but got dropout=0.5 and num_layers=1
  warnings.warn(
/home/skyvision/.local/lib/python3.10/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/home/skyvision/.local/lib/python3.10/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=Inception_V3_Weights.IMAGENET1K_V1`. You can also use `weights=Inception_V3_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Using device: cuda:0
Visible GPU IDs for training: [0]
Using Automatic Mixed Precision (AMP)
Train dataset size: 8855 | Batches: 368
Validation dataset size: 2933 | Batches: 123
Variant settings: variant=baseline, attention_mode=none, spectral_norm=off, mhsa_heads=4
Resumed from checkpoint epoch 7
Resumed best_val_loss: 5.2814
Step [2614] | D_Loss: 0.3496 | G_Loss: 9.6548 | G_GAN: 9.6083 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0232 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [2615] | D_Loss: 0.4840 | G_Loss: 11.8193 | G_GAN: 11.7754 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0220 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [2616] | D_Loss: 0.3198 | G_Loss: 9.5331 | G_GAN: 9.4898 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0217 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [2617] | D_Loss: 0.5951 | G_Loss: 14.6287 | G_GAN: 14.5824 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0232 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [2618] | D_Loss: 0.4230 | G_Loss: 9.1641 | G_GAN: 9.1202 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0220 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [2619] | D_Loss: 0.3868 | G_Loss: 13.5124 | G_GAN: 13.4682 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0221 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [2620] | D_Loss: 0.7818 | G_Loss: 12.3105 | G_GAN: 12.2622 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0242 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [2621] | D_Loss: 0.3135 | G_Loss: 12.4243 | G_GAN: 12.3764 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0239 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [2622] | D_Loss: 0.4182 | G_Loss: 11.7940 | G_GAN: 11.7476 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0232 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [2623] | D_Loss: 0.4003 | G_Loss: 15.5604 | G_GAN: 15.5145 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0229 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [2624] | D_Loss: 0.3102 | G_Loss: 17.2118 | G_GAN: 17.1692 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0213 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [2625] | D_Loss: 0.3742 | G_Loss: 14.2960 | G_GAN: 14.2478 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0241 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [2626] | D_Loss: 0.1843 | G_Loss: 8.9474 | G_GAN: 8.9065 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0204 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [2627] | D_Loss: 0.5023 | G_Loss: 14.2962 | G_GAN: 14.2492 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0235 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [2628] | D_Loss: 0.4641 | G_Loss: 11.1506 | G_GAN: 11.1052 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0227 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [2629] | D_Loss: 0.4689 | G_Loss: 9.2578 | G_GAN: 9.2091 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0243 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [2630] | D_Loss: 0.6370 | G_Loss: 15.7162 | G_GAN: 15.6710 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0226 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [2631] | D_Loss: 0.6114 | G_Loss: 12.8759 | G_GAN: 12.8310 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0225 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [2632] | D_Loss: 0.2441 | G_Loss: 9.4128 | G_GAN: 9.3697 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0215 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [2633] | D_Loss: 0.4704 | G_Loss: 14.4280 | G_GAN: 14.3862 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0209 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [2634] | D_Loss: 0.0853 | G_Loss: 17.9541 | G_GAN: 17.9110 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0215 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [2635] | D_Loss: 0.2292 | G_Loss: 14.4201 | G_GAN: 14.3741 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0230 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [2636] | D_Loss: 0.3777 | G_Loss: 9.3974 | G_GAN: 9.3521 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0226 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [2637] | D_Loss: 0.4773 | G_Loss: 10.3218 | G_GAN: 10.2807 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0206 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [2638] | D_Loss: 0.2950 | G_Loss: 14.8191 | G_GAN: 14.7725 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0233 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [2639] | D_Loss: 0.2592 | G_Loss: 12.6935 | G_GAN: 12.6496 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0219 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [2640] | D_Loss: 0.1067 | G_Loss: 16.2656 | G_GAN: 16.2242 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0207 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [2641] | D_Loss: 0.2564 | G_Loss: 15.8041 | G_GAN: 15.7597 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0222 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
