/home/skyvision/.local/lib/python3.10/site-packages/torch/nn/modules/rnn.py:123: UserWarning: dropout option adds dropout after all but last recurrent layer, so non-zero dropout expects num_layers greater than 1, but got dropout=0.5 and num_layers=1
  warnings.warn(
/home/skyvision/.local/lib/python3.10/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/home/skyvision/.local/lib/python3.10/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=Inception_V3_Weights.IMAGENET1K_V1`. You can also use `weights=Inception_V3_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Using device: cuda:0
Visible GPU IDs for training: [0]
Train dataset size: 8855 | Batches: 2213
Validation dataset size: 2933 | Batches: 734
Variant settings: variant=attenx_mhsa, attention_mode=multihead, spectral_norm=on, mhsa_heads=4
Loaded pretrained DAMSM text encoder weights from: ./checkpoints/damsm_quick/damsm_latest.pth (9/9 tensors)
Loaded pretrained DAMSM image encoder weights from: ./checkpoints/damsm_quick/damsm_latest.pth (567/567 tensors)
Step [32] | D_Loss: 0.9333 | G_Loss: 4.0482 | G_GAN: 8.8388 | L_Words: -0.9961 | L_Sent: 0.0036 | L_DAMSM: -0.9924 | L_KL: 0.0858 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [33] | D_Loss: 1.0307 | G_Loss: 2.2011 | G_GAN: 7.0090 | L_Words: -0.9975 | L_Sent: 0.0020 | L_DAMSM: -0.9954 | L_KL: 0.0846 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [34] | D_Loss: 0.6837 | G_Loss: 3.7622 | G_GAN: 8.5789 | L_Words: -0.9975 | L_Sent: 0.0006 | L_DAMSM: -0.9969 | L_KL: 0.0839 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [35] | D_Loss: 0.5891 | G_Loss: 4.6959 | G_GAN: 9.5147 | L_Words: -0.9978 | L_Sent: 0.0008 | L_DAMSM: -0.9970 | L_KL: 0.0831 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [36] | D_Loss: 1.0080 | G_Loss: 4.9612 | G_GAN: 9.7785 | L_Words: -0.9977 | L_Sent: 0.0013 | L_DAMSM: -0.9964 | L_KL: 0.0824 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [37] | D_Loss: 1.1069 | G_Loss: 2.3921 | G_GAN: 7.2136 | L_Words: -0.9982 | L_Sent: 0.0015 | L_DAMSM: -0.9967 | L_KL: 0.0811 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [38] | D_Loss: 2.4177 | G_Loss: 0.4640 | G_GAN: 5.2888 | L_Words: -0.9977 | L_Sent: 0.0012 | L_DAMSM: -0.9965 | L_KL: 0.0789 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [39] | D_Loss: 1.7582 | G_Loss: 0.6691 | G_GAN: 5.4997 | L_Words: -0.9980 | L_Sent: 0.0009 | L_DAMSM: -0.9971 | L_KL: 0.0774 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [40] | D_Loss: 1.6334 | G_Loss: 0.4267 | G_GAN: 5.2633 | L_Words: -0.9981 | L_Sent: 0.0003 | L_DAMSM: -0.9978 | L_KL: 0.0762 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [41] | D_Loss: 1.0644 | G_Loss: 0.0068 | G_GAN: 4.8385 | L_Words: -0.9985 | L_Sent: 0.0019 | L_DAMSM: -0.9966 | L_KL: 0.0755 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [42] | D_Loss: 1.0031 | G_Loss: 0.6310 | G_GAN: 5.4634 | L_Words: -0.9973 | L_Sent: 0.0009 | L_DAMSM: -0.9964 | L_KL: 0.0749 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
