nohup: ignoring input
/home/skyvision/.local/lib/python3.10/site-packages/torch/nn/modules/rnn.py:123: UserWarning: dropout option adds dropout after all but last recurrent layer, so non-zero dropout expects num_layers greater than 1, but got dropout=0.5 and num_layers=1
  warnings.warn(
/home/skyvision/.local/lib/python3.10/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/home/skyvision/.local/lib/python3.10/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=Inception_V3_Weights.IMAGENET1K_V1`. You can also use `weights=Inception_V3_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Using device: cuda:0
Visible GPU IDs for training: [0]
Using Automatic Mixed Precision (AMP)
Train dataset size: 8855 | Batches: 368
Validation dataset size: 2933 | Batches: 123
Variant settings: variant=attenx_sa, attention_mode=single, spectral_norm=on, mhsa_heads=4
Resumed from checkpoint epoch 3
Resumed best_val_loss: 3.0666
Step [1146] | D_Loss: 0.7024 | G_Loss: 7.0707 | G_GAN: 7.0454 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0127 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1147] | D_Loss: 0.8465 | G_Loss: 5.7404 | G_GAN: 5.7153 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0125 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1148] | D_Loss: 1.1776 | G_Loss: 6.9207 | G_GAN: 6.8952 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0127 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1149] | D_Loss: 0.7548 | G_Loss: 7.0450 | G_GAN: 7.0190 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0130 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1150] | D_Loss: 0.5508 | G_Loss: 7.5330 | G_GAN: 7.5059 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0135 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1151] | D_Loss: 0.6438 | G_Loss: 5.7520 | G_GAN: 5.7263 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0128 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1152] | D_Loss: 0.5505 | G_Loss: 6.6179 | G_GAN: 6.5906 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0136 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1153] | D_Loss: 0.6196 | G_Loss: 8.6334 | G_GAN: 8.6064 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0135 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1154] | D_Loss: 0.7221 | G_Loss: 6.7024 | G_GAN: 6.6772 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0126 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1155] | D_Loss: 0.9522 | G_Loss: 11.4652 | G_GAN: 11.4388 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0132 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1156] | D_Loss: 0.9090 | G_Loss: 9.4300 | G_GAN: 9.4041 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0130 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1157] | D_Loss: 0.5346 | G_Loss: 6.2938 | G_GAN: 6.2687 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0125 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1158] | D_Loss: 0.6407 | G_Loss: 6.5875 | G_GAN: 6.5616 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0130 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1159] | D_Loss: 0.6759 | G_Loss: 11.3186 | G_GAN: 11.2917 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0134 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1160] | D_Loss: 0.4315 | G_Loss: 8.7139 | G_GAN: 8.6862 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0138 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1161] | D_Loss: 0.5795 | G_Loss: 4.4661 | G_GAN: 4.4397 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0132 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1162] | D_Loss: 0.6184 | G_Loss: 10.6263 | G_GAN: 10.5997 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0133 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1163] | D_Loss: 0.2486 | G_Loss: 12.2383 | G_GAN: 12.2117 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0133 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1164] | D_Loss: 0.3351 | G_Loss: 10.2474 | G_GAN: 10.2215 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0129 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1165] | D_Loss: 0.8999 | G_Loss: 4.6643 | G_GAN: 4.6379 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0132 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1166] | D_Loss: 1.2447 | G_Loss: 13.4372 | G_GAN: 13.4109 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0132 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1167] | D_Loss: 1.1120 | G_Loss: 5.3347 | G_GAN: 5.3076 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0136 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1168] | D_Loss: 0.7419 | G_Loss: 9.7877 | G_GAN: 9.7608 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0134 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1169] | D_Loss: 0.8782 | G_Loss: 7.8331 | G_GAN: 7.8040 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0146 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1170] | D_Loss: 0.6099 | G_Loss: 7.8007 | G_GAN: 7.7748 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0129 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1171] | D_Loss: 0.4324 | G_Loss: 8.5346 | G_GAN: 8.5080 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0133 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1172] | D_Loss: 0.6770 | G_Loss: 7.7387 | G_GAN: 7.7115 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0136 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
